,rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0,0.657019,0.0,0.0,0.0,0.257042,7.188886,15.12816,0.671618,8.0
1,0.14368,0.373578,0.0,0.2895,0.234217,2.028584,2.85618,0.569577,5.0
2,0.264202,0.385361,0.10834,0.0,0.0,4.073232,3.616225,0.126882,6.0
3,0.003634,0.316211,0.0,0.080048,0.036333,0.360257,1.069743,0.807717,8.0
4,0.004023,0.007116,0.295712,0.007483,0.0,0.07203,0.968635,0.188453,7.0
5,0.380623,0.36613,0.363605,0.0,0.176573,9.935666,1.860283,0.814479,6.0
6,0.112945,0.0,0.0,0.046167,0.0,1.732547,4.0203,0.842864,6.0
7,0.246717,0.339518,0.48181,0.38399,0.0,1.480749,5.089209,0.338931,5.0
8,0.062827,0.101106,0.0,0.0,0.264757,4.420638,0.744186,0.729389,7.0
9,0.0,0.350144,0.083891,0.149193,0.0,0.027632,1.079095,0.711124,8.0
10,0.211979,0.0,0.449999,0.31253,0.205283,9.341137,0.670166,0.638305,5.0
11,0.386459,0.0,0.0,0.219358,0.465814,7.003263,6.866083,0.776597,8.0
12,0.189671,0.0,0.1783,0.420034,0.495341,4.255686,3.216722,0.406159,8.0
13,0.32708,0.0,0.245759,0.0,0.0,4.247333,5.331848,0.636844,6.0
14,0.00652,0.0,0.452307,0.484202,0.0,1.925906,0.040204,0.391175,7.0
15,0.0,0.0,0.0,0.0,0.0,0.36291,0.163468,0.623968,6.0
16,0.098626,0.197808,0.217762,0.427363,0.0,2.496633,2.158898,0.668119,6.0
17,0.02444,0.0,0.0,0.13691,0.070242,2.43674,0.376675,0.702087,5.0
18,0.559936,0.366807,0.0,0.320992,0.0,9.167674,8.593205,0.247677,7.0
19,0.280249,0.334049,0.0,0.0,0.338876,2.164862,8.313493,0.640132,8.0
20,0.653307,0.390571,0.0,0.0,0.0,9.257957,14.805977,0.715781,8.0
21,0.065608,0.10495,0.426869,0.096682,0.019721,0.250424,3.166411,0.681261,7.0
22,0.136551,0.0,0.0,0.480487,0.0,3.986536,2.995441,0.742523,7.0
23,0.369013,0.419136,0.0,0.0,0.408153,0.218394,9.424446,0.471557,7.0
24,0.09443,0.303751,0.448241,0.278653,0.488503,0.07364,6.202247,0.867571,7.0
25,0.193941,0.0,0.0,0.0,0.0,3.593601,2.499985,0.39407,7.0
26,0.020951,0.004029,0.414583,0.468224,0.084628,1.291934,1.194606,0.296197,7.0
27,0.228776,0.0,0.088915,0.243674,0.0,6.590696,0.871226,0.541852,6.0
28,0.020579,0.0,0.0,0.0,0.0,1.196913,0.051008,0.414221,5.0
29,0.010632,0.428268,0.247435,0.190118,0.0,0.541538,1.755421,0.671251,8.0
30,0.494658,0.0,0.126401,0.397628,0.0,5.51377,10.12245,0.37025,7.0
31,0.263622,0.0,0.0,0.078047,0.329986,0.332996,7.424853,0.780092,8.0
32,0.003859,0.0,0.0,0.0,0.355727,1.300682,0.293228,0.516916,7.0
33,0.009979,0.042743,0.167979,0.0,0.330779,0.46069,0.813368,0.856525,5.0
34,0.228373,0.0,0.377032,0.452278,0.19478,4.970861,2.559945,0.474811,5.0
35,0.187899,0.398361,0.0,0.498344,0.198052,2.820201,3.950382,0.486077,7.0
36,0.136576,0.121941,0.0,0.172285,0.0,2.284648,2.640706,0.207884,7.0
37,0.319408,0.376486,0.0,0.309315,0.342257,4.148214,6.112664,0.894345,7.0
38,0.001784,0.476476,0.414008,0.261853,0.292121,0.619272,0.161588,0.158687,8.0
39,0.061652,0.0,0.0,0.073037,0.138149,2.451564,1.175842,0.881602,5.0
40,0.188669,0.0,0.091644,0.0,0.0,1.736921,4.956242,0.782108,8.0
41,0.001152,0.0,0.0,0.0,0.0,0.200464,0.015467,0.800349,8.0
42,0.18,0.0,0.495036,0.0,0.0,1.644756,4.877203,0.656217,6.0
43,0.048169,0.057815,0.0,0.0,0.0,0.284053,2.27602,0.678456,6.0
44,0.32849,0.076644,0.0,0.0,0.0,7.202299,2.270091,0.446821,8.0
45,0.170603,0.0,0.0,0.408642,0.158752,4.812473,2.028817,0.374,5.0
46,0.168748,0.19658,0.064367,0.0,0.0,5.069298,0.467255,0.282215,7.0
47,0.183432,0.0,0.03628,0.0,0.248452,5.186254,2.382083,0.593179,6.0
48,0.112774,0.318321,0.0,0.350057,0.0,2.973529,1.844515,0.642533,7.0
49,0.004353,0.405112,0.0,0.244336,0.0,0.905298,0.962119,0.935712,8.0
50,0.148546,0.333508,0.0,0.0,0.079448,1.3606,3.320235,0.553302,6.0
51,0.0,0.442196,0.266254,0.0,0.0,0.302735,0.30171,0.783777,8.0
52,0.341476,0.0,0.0,0.369626,0.0,8.205858,3.175912,0.711592,8.0
53,0.326912,0.104331,0.0,0.0,0.0,1.21888,7.914449,0.79671,6.0
54,0.124765,0.0,0.331893,0.0,0.0,2.627374,2.693143,0.56323,5.0
55,0.317297,0.488702,0.0,0.0,0.0,2.809995,6.629293,0.435438,8.0
56,0.004622,0.0,0.131413,0.288443,0.02094,0.723639,1.438804,0.709215,8.0
57,0.005614,0.215639,0.1823,0.0,0.0,0.327077,1.959999,0.742077,8.0
58,0.174704,0.0,0.0,0.101883,0.264811,2.065948,4.051005,0.651758,6.0
59,0.08537,0.0,0.41309,0.0,0.0,3.243537,1.826434,0.76874,8.0
60,0.321407,0.342638,0.0,0.0,0.0,7.11481,2.928623,0.76719,6.0
61,0.112115,0.0,0.0,0.0,0.0,6.584869,0.117494,0.750432,5.0
62,0.078779,0.0,0.0,0.0,0.0,0.807326,3.004509,0.629451,8.0
63,0.143205,0.480043,0.137282,0.0,0.213587,3.270702,1.890255,0.676259,5.0
64,0.4029,0.226834,0.0,0.149418,0.155148,1.984266,7.33493,0.390639,6.0
