,rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0,0.343614,0.440515,-0.492228,-0.017891,0.140435,3.379415,8.216495,0.760706,6.0
1,0.343679,0.122272,-0.385694,-0.009081,0.167396,0.822851,7.670995,0.687898,5.0
2,0.343795,0.087873,0.361489,-0.207531,0.449671,8.918369,3.525276,0.321363,8.0
3,0.343836,0.027111,0.272158,-0.303872,0.39901,0.084736,10.102091,0.912923,6.0
4,0.343873,-0.026514,-0.237841,-0.388376,-0.412388,10.021987,0.190902,0.625147,7.0
5,0.344074,-0.16728,0.242154,0.207311,0.354805,4.77975,7.630859,0.815111,8.0
6,0.344223,-0.386962,-0.205603,0.219739,0.1831,3.264312,9.241103,0.76999,7.0
7,0.344622,0.475073,-0.367232,0.353794,-0.202473,6.283767,4.681851,0.714333,8.0
8,0.34496,0.486563,-0.333064,-0.370872,0.054701,1.725611,7.931642,0.48546,5.0
9,0.345172,0.480621,0.245904,-0.370501,-0.459096,0.519712,8.42575,0.487812,7.0
10,0.345356,-0.29154,0.379816,0.467084,-0.219602,8.763812,1.216854,0.474932,7.0
11,0.345462,-0.157162,-0.348277,0.292048,0.378028,0.782917,8.023945,0.444752,5.0
12,0.345768,0.018424,0.308687,-0.440701,-0.436194,2.437693,7.869137,0.582324,5.0
13,0.345989,-0.363312,0.187589,-0.137589,-0.415137,8.693018,3.090501,0.469217,5.0
14,0.346071,0.49435,0.05468,-0.111352,0.156423,4.594642,5.180966,0.416732,8.0
15,0.346296,-0.417533,0.496252,-0.152764,0.126965,4.038053,5.958119,0.377192,8.0
16,0.346464,-0.356934,-0.266226,-0.472295,-0.284921,3.138619,8.013901,0.929559,8.0
17,0.346733,-0.455246,-0.354358,0.467334,-0.04146,7.776824,4.597074,0.727704,7.0
18,0.346789,0.417903,0.038233,0.470347,-0.100988,7.283101,5.593353,0.932234,6.0
19,0.347171,-0.241196,-0.214299,0.271158,0.144902,0.979528,8.677229,0.648843,6.0
20,0.347341,-0.251282,-0.452048,-0.084905,-0.154872,1.436371,7.281779,0.478097,5.0
21,0.34759,0.181646,0.024969,0.11309,-0.037065,6.649159,4.213058,0.525308,7.0
22,0.347659,0.471002,-0.48673,0.379131,-0.245039,2.898898,7.213219,0.72282,7.0
23,0.347826,-0.340575,-0.261805,-0.30331,-0.274643,5.353214,5.293552,0.689793,6.0
24,0.347851,-0.102597,0.269182,-0.0792,-0.336905,1.040385,9.038031,0.536088,8.0
25,0.348129,-0.241437,0.297866,0.351284,-0.265705,10.012772,3.093772,0.960634,8.0
26,0.34839,0.278498,-0.178938,-0.165982,-0.390545,2.705996,8.003308,0.763296,5.0
27,0.348572,0.115961,0.418265,0.298719,0.370182,2.736983,8.516285,0.744553,7.0
28,0.348789,-0.478558,0.254839,0.26996,0.41641,1.422541,8.319834,0.487969,8.0
29,0.34901,-0.21222,-0.23639,-0.311482,0.333966,1.302714,7.599057,0.25297,8.0
30,0.349289,-0.156148,-0.473163,-0.105614,0.451074,0.150437,10.377416,0.889716,7.0
31,0.349763,-0.050598,-0.460064,-0.361617,0.121538,12.408955,0.627577,0.813162,7.0
32,0.34992,0.209753,0.178388,-0.009115,0.231124,2.837416,9.535234,0.855924,5.0
33,0.350063,0.405986,-0.250415,-0.153848,0.420573,4.85411,7.44843,0.603408,8.0
34,0.350202,-0.036864,0.031906,-0.48898,-0.092423,9.234317,4.126751,0.485189,5.0
35,0.350328,0.285983,-0.02771,0.265371,0.221456,6.632028,4.561635,0.62703,5.0
36,0.350626,0.36457,0.443555,-0.056606,-0.391193,5.383108,3.839187,0.546407,8.0
37,0.350759,-0.177987,-0.0473,-0.284035,0.347913,8.721464,3.142264,0.943122,8.0
38,0.350855,0.485577,0.431483,0.354133,0.386116,5.47842,5.506816,0.784531,6.0
39,0.350936,0.448258,0.205471,0.073536,0.148606,5.40603,6.360223,0.566372,8.0
40,0.351109,-0.012877,-0.01284,0.340821,-0.162723,3.09691,6.790793,0.949607,8.0
41,0.35122,0.048167,0.19335,-0.259972,0.015362,2.137445,7.400568,0.681375,6.0
42,0.35157,-0.272882,0.037975,-0.115423,-0.40338,8.802351,1.111721,0.404754,8.0
43,0.351948,-0.303503,-0.202466,-0.331453,-0.161333,0.563044,7.522205,0.248854,5.0
44,0.352081,0.313621,-0.426938,0.048083,-0.334887,4.400374,7.627594,0.806417,6.0
45,0.352102,0.057186,-0.206993,0.076066,-0.223261,0.189851,9.8117,0.844705,7.0
46,0.35236,-0.423589,0.483592,0.140877,-0.101485,12.208843,1.685318,0.462113,8.0
47,0.352371,0.122985,-0.24954,0.430459,0.006725,6.840939,4.784995,0.835101,8.0
48,0.352809,0.25315,0.232927,0.457914,-0.037568,3.00252,6.38424,0.713364,7.0
49,0.352845,-0.414222,-0.487611,-0.329986,0.168212,2.338981,9.890279,0.681766,8.0
50,0.353066,-0.355334,-0.373378,0.107364,-0.144982,11.270267,0.958144,0.538669,8.0
51,0.353304,-0.050889,-0.422328,0.015905,0.33243,0.953392,11.001185,0.443055,7.0
52,0.353509,0.092228,0.191975,-0.499965,-0.354181,2.156342,4.674255,0.199333,8.0
53,0.353641,-0.481496,-0.130011,-0.374475,-0.448907,1.878863,11.354227,0.617524,6.0
54,0.354076,0.255782,-0.164153,0.068962,-0.2847,0.989873,7.57905,0.704776,6.0
55,0.354276,0.114375,-0.465058,-0.164682,0.429663,5.268711,6.161432,0.490095,6.0
56,0.354278,-0.211255,0.416262,0.025388,-0.118275,0.721887,8.030957,0.435021,5.0
57,0.354591,0.10084,-0.165039,0.367885,-0.119377,6.835625,5.041217,0.774353,8.0
58,0.354627,-0.143806,0.214649,-0.307799,-0.305446,4.635008,6.339781,0.512206,7.0
59,0.354638,-0.333231,0.364139,0.285347,-0.173379,4.440732,7.172796,0.719229,5.0
60,0.355012,-0.2423,0.498632,-0.352031,-0.493648,3.76193,6.228761,0.411742,7.0
61,0.355334,0.463154,0.119711,0.496899,-0.359262,10.098138,1.775803,0.755391,5.0
62,0.355417,0.027555,0.310973,-0.087905,0.442677,5.150668,7.715074,0.580604,8.0
63,0.355845,-0.492506,-0.017973,0.161335,0.337904,12.271634,1.079428,0.813009,5.0
64,0.355846,0.045751,-0.233281,0.219486,-0.196772,1.46089,7.985963,0.819608,6.0
65,0.356073,0.4485,-0.114255,-0.045006,-0.158036,1.038345,8.73738,0.599352,5.0
66,0.356077,-0.284037,-0.263372,-0.156621,-0.396116,12.82417,0.810454,0.744692,7.0
67,0.356659,0.318361,-0.263937,-0.474051,-0.269364,1.462128,8.550994,0.59319,8.0
68,0.357236,0.011509,-0.469552,-0.401312,0.172907,1.5591,9.038815,0.63144,6.0
69,0.357435,0.176895,0.295952,0.388347,-0.498902,0.429318,9.159548,0.799632,6.0
70,0.357515,0.497913,-0.495402,0.262001,-0.026186,0.316069,10.646649,0.817302,8.0
71,0.357589,-0.269381,0.296231,-0.016523,0.09047,6.422858,4.400051,0.511927,7.0
72,0.357652,-0.176553,-0.132363,0.29544,-0.115386,1.284863,12.092032,0.676995,7.0
73,0.35766,-0.185175,0.204194,0.254258,0.255137,0.852899,12.377031,0.837773,6.0
74,0.357755,0.230217,-0.036079,-0.188151,0.008135,2.910649,7.936431,0.357218,5.0
75,0.358193,-0.368948,0.238461,-0.014921,0.449518,6.370422,6.284497,0.651994,8.0
76,0.358264,0.49249,-0.480242,0.148683,-0.277964,4.738942,4.68959,0.490101,7.0
77,0.358309,0.28695,-0.182963,-0.109814,0.303292,2.349705,10.436528,0.670085,6.0
78,0.358876,0.476232,0.030978,0.436136,-0.218652,7.515087,2.305911,0.702052,8.0
79,0.358879,0.273641,-0.202307,0.03983,8.7e-05,7.666724,2.73225,0.808168,5.0
80,0.359716,-0.174362,0.403936,0.455604,-0.398819,5.226782,5.943677,0.764644,8.0
81,0.359737,0.414338,0.254947,0.211284,-0.427432,8.793123,1.909713,0.324446,6.0
82,0.360037,-0.375999,-0.345017,0.281327,0.143107,1.722145,7.911021,0.628194,5.0
83,0.36022,-0.057645,0.403952,0.07443,0.052797,2.899723,6.700636,0.549451,5.0
84,0.360837,0.089572,0.463765,-0.482034,-0.274431,8.975301,4.280082,0.564443,5.0
85,0.360856,0.151353,-0.288569,-0.013308,-0.020743,11.0668,0.48464,0.763557,8.0
86,0.361327,0.251213,-0.405815,-0.327579,-0.121335,8.699254,2.307652,0.47335,6.0
87,0.361571,0.48812,0.394795,0.406675,0.323868,0.689809,11.38498,0.598484,8.0
88,0.361577,-0.065814,-0.424936,-0.299756,-0.388614,4.102137,4.745234,0.252764,7.0
89,0.362105,-0.342007,-0.2598,-0.447408,0.376341,0.270008,9.397645,0.361197,7.0
90,0.362141,-0.172092,0.048637,-0.488345,-0.168828,4.689442,6.97547,0.583717,6.0
91,0.362389,0.435373,-0.406931,0.225146,-0.436069,9.998137,1.846822,0.434671,5.0
92,0.362453,-0.402718,0.290598,0.468225,0.38382,9.362026,2.152042,0.684456,6.0
93,0.362561,0.048869,0.008811,-0.40654,0.337957,3.423066,3.070843,0.168131,8.0
94,0.362582,0.449713,-0.466041,-0.465345,-0.231581,5.511072,6.188006,0.81655,6.0
95,0.363165,0.234522,-0.253832,-0.250951,0.20821,7.73984,2.472554,0.668408,5.0
96,0.363554,0.23765,-0.061428,0.13208,0.441191,2.04363,8.320291,0.656055,7.0
97,0.363844,0.332689,-0.236181,0.414228,-0.446439,0.52436,9.454537,0.717826,8.0
98,0.364101,-0.148071,0.429714,0.445755,-0.0898,7.688761,2.866064,0.941746,5.0
99,0.364819,-0.058816,0.272509,-0.021258,0.226251,6.516406,3.45804,0.290047,5.0
100,0.364832,-0.039451,0.182008,-0.113222,0.498566,4.749323,7.386889,0.574377,5.0
101,0.365194,0.154058,-0.439868,0.257066,0.027022,9.653669,3.272876,0.871612,6.0
102,0.365375,-0.101491,-0.049713,0.299825,0.422841,6.327717,4.18571,0.583406,7.0
103,0.36563,-0.168048,0.090518,0.344357,0.3263,4.464849,4.775495,0.264113,7.0
104,0.366065,-0.089221,-0.270934,-0.32564,-0.498473,1.617954,12.558898,0.730694,8.0
105,0.366622,-0.138009,0.473598,0.461148,0.477835,10.210573,0.844026,0.800145,6.0
