season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,1
1,0,1,0,0,6,0,1,0.22,0.2727,0.8,0,8,32,1
1,0,1,0,0,6,0,1,0.22,0.2727,0.8,0,5,27,1
1,0,1,0,0,6,0,1,0.24,0.2879,0.75,0,3,10,1
1,0,1,0,0,6,0,1,0.24,0.2879,0.75,0,0,1,1
1,0,1,0,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
1,0,1,0,0,6,0,1,0.22,0.2727,0.8,0,2,0,1
1,0,1,0,0,6,0,1,0.2,0.2576,0.86,0,1,2,1
1,0,1,0,0,6,0,1,0.24,0.2879,0.75,0,1,7,1
1,0,1,0,0,6,0,1,0.32,0.3485,0.76,0,8,6,1
1,0,1,0,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,1
1,0,1,0,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,1
1,0,1,0,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,1
1,0,1,0,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,2
1,0,1,0,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,2
1,0,1,0,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,2
1,0,1,0,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,2
1,0,1,0,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,2
1,0,1,0,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,2
1,0,1,0,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,2
1,0,1,0,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,2
1,0,1,0,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,2
1,0,1,0,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,2
1,0,1,0,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,2
1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,3
