season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
4,1,10,12,0,0,0,2,0.42,0.4242,0.71,0,100,292,392
4,1,10,12,0,5,1,2,0.58,0.5455,0.73,0.194,90,302,392
2,1,6,16,0,3,1,1,0.72,0.6515,0.3,0.4925,72,320,392
3,0,6,12,0,6,0,1,0.74,0.6515,0.4,0.2836,140,252,392
3,0,7,14,0,6,0,1,0.84,0.7121,0.2,0,177,215,392
4,1,9,15,0,5,1,2,0.68,0.6364,0.54,0.2836,104,288,392
4,1,12,11,0,6,0,2,0.32,0.3333,0.76,0.1045,74,318,392
2,0,5,17,0,0,0,3,0.56,0.5303,0.78,0.3582,137,255,392
3,0,6,15,0,6,0,1,0.74,0.6667,0.45,0,157,235,392
4,1,10,20,0,3,1,1,0.52,0.5,0.48,0.4925,21,371,392
2,1,5,20,0,0,0,1,0.74,0.6818,0.55,0.1642,168,224,392
3,1,9,19,0,6,0,3,0.78,0.7424,0.62,0,157,235,392
4,1,10,7,0,5,1,1,0.36,0.3636,0.81,0.0896,8,384,392
3,1,6,16,0,3,1,1,0.82,0.697,0.24,0.4478,55,337,392
3,0,8,8,0,2,1,1,0.74,0.697,0.66,0,40,352,392
4,1,12,11,0,6,0,1,0.34,0.3485,0.61,0.0896,66,327,393
2,1,5,16,0,2,1,1,0.82,0.7727,0.49,0.4925,73,320,393
2,1,6,13,0,5,1,1,0.7,0.6364,0.42,0.2537,121,272,393
2,1,5,21,0,3,1,1,0.64,0.6061,0.73,0.194,63,330,393
4,0,10,17,0,6,0,1,0.62,0.6212,0.5,0.1343,174,219,393
2,1,6,20,0,1,1,2,0.74,0.6667,0.48,0.2239,61,333,394
2,0,5,8,0,1,1,1,0.56,0.5303,0.73,0.2985,28,366,394
4,0,10,13,0,6,0,1,0.6,0.6212,0.35,0.4627,171,223,394
2,1,4,14,0,5,1,1,0.64,0.6212,0.44,0.2239,156,238,394
