usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,phi_1,phi_2,phi_3,phi_4
90,6,2,1036,103,114,1,1,172076,355965,2,6527,4,2.1203E-06,2.69998E-06,0.50000053,8.48113E-06
88,1,0,2165,205,101,0.4,1.2,43107,44139,3,130,4,2.1203E-06,2.69998E-06,0.50000053,8.48113E-06
85,62,77,3806,258,166,1.4,1.4,492142,268706,5.2,256,4,2.1203E-06,2.69998E-06,0.50000053,8.48113E-06
81,5,0,4721,256,177,0.99,2.58,524787,174964,1,233,5,2.65037E-06,3.37498E-06,0.500000663,1.06014E-05
79,42,55,3949,249,244,2.6,4.6,197289,529200,3.4,331,5,2.65037E-06,3.37498E-06,0.500000663,1.06014E-05
92,5,1,1692,132,87,0.4,1.8,220194,107031,2.2,2291,5,2.65037E-06,3.37498E-06,0.500000663,1.06014E-05
82,3,0,635,65,47,3,3,87465,40740,1,289,7,3.71052E-06,4.72497E-06,0.500000928,1.48419E-05
90,7,5,1341,240,120,0.4,0.6,718437,672290,4.8,2532,8,4.24059E-06,5.39996E-06,0.50000106,1.69622E-05
87,159,40,2443,299,262,1,1,240375,209450,2.8,536,8,4.24059E-06,5.39996E-06,0.50000106,1.69622E-05
86,1,0,3322,271,170,1,3.2,399277,128680,1,579,9,4.77067E-06,6.07496E-06,0.500001193,1.90825E-05
87,9,3,1626,106,100,1.2,1.2,261018,111663,1,615,9,4.77067E-06,6.07496E-06,0.500001193,1.90825E-05
93,11,2,1687,76,115,0.4,0.4,76103,93789,1,631,9,4.77067E-06,6.07496E-06,0.500001193,1.90825E-05
84,2,1,5402,406,274,0.2,0.2,22609,155154,2.5,152,9,4.77067E-06,6.07496E-06,0.500001193,1.90825E-05
92,6,2,2040,121,112,0.6,0.6,38688,60507,1,1201,10,5.30074E-06,6.74996E-06,0.500001325,2.12027E-05
0,172,113,1427,171,134,0.6,3.39,261636,103649,744,92,10,5.30074E-06,6.74996E-06,0.500001325,2.12027E-05
94,82,44,2342,156,323,0.6,0.6,97904,75368,3.2,487,11,5.83082E-06,7.42495E-06,0.500001458,2.33229E-05
81,37,49,4667,673,457,2.6,0.8,262181,220110,1.4,287,12,6.36089E-06,8.09995E-06,0.50000159,2.54432E-05
91,13,12,2859,459,215,0.6,2,652144,585464,3.2,220,12,6.36089E-06,8.09995E-06,0.50000159,2.54432E-05
83,24,32,419,41,27,2,2,91694,34919,1.2,3733,13,6.89097E-06,8.77494E-06,0.500001723,2.75634E-05
90,67,90,1850,131,61,1.2,2.2,40316,23559,1.3,694,13,6.89097E-06,8.77494E-06,0.500001723,2.75634E-05
88,15,5,1795,343,209,1,1,91247,93705,2,112,13,6.89097E-06,8.77494E-06,0.500001723,2.75634E-05
89,4,0,1969,209,200,2.4,0.8,131479,48942,1.3,1126,14,7.42104E-06,9.44994E-06,0.500001855,2.96837E-05
87,10,4,3734,212,168,1.2,1,197813,112160,2,1446,14,7.42104E-06,9.44994E-06,0.500001855,2.96837E-05
76,11,6,4515,185,165,3.79,4.99,85634,65019,4.4,890,15,7.95111E-06,1.01249E-05,0.500001988,3.18039E-05
92,5,4,1568,68,102,0.2,0.2,42053,30000,1.5,313,16,8.48119E-06,1.07999E-05,0.50000212,3.39241E-05
83,8,3,3942,702,244,1,0.8,463837,166875,6.6,159,16,8.48119E-06,1.07999E-05,0.50000212,3.39241E-05
90,2,0,457,48,37,2,2,65518,74456,1,6493,18,9.54134E-06,1.21499E-05,0.500002385,3.81645E-05
89,5,0,3300,395,219,2,0.8,133693,89066,4.8,2230,19,1.00714E-05,1.28249E-05,0.500002518,4.02847E-05
98,0,0,408,62,45,0.2,0.2,1635,17161,3,626,19,1.00714E-05,1.28249E-05,0.500002518,4.02847E-05
90,1,0,2596,211,195,0.2,0.2,299110,67609,2.8,266,21,1.11316E-05,1.41749E-05,0.500002783,4.45252E-05
96,1,1,963,90,62,0.6,0.6,91754,14319,2.2,3125,21,1.11316E-05,1.41749E-05,0.500002783,4.45252E-05
92,6,5,1860,128,103,0.6,0.8,118921,56765,2.2,238,25,1.32519E-05,1.68749E-05,0.500003313,5.30059E-05
91,3,2,1710,131,122,0.6,1,68306,103547,3.2,493,27,1.4312E-05,1.82249E-05,0.500003578,5.72463E-05
87,5,0,4901,508,330,2,0.6,165967,155044,2.8,2560,83,4.39962E-05,5.60246E-05,0.500010999,0.000175969
83,13,8,4349,300,191,2.8,3,96009,70467,2.2,772,948240,0.50263765,0.501807357,0.623078988,0.866084508
73,622,543,5572,480,297,1.2,3.8,166930,128473,3,527,952324,0.504802473,0.503176009,0.623587265,0.867239113
72,28,23,6465,408,177,4.2,5,454491,41075,2.8,437,954331,0.505866332,0.503846439,0.623836947,0.867802867
90,12,10,1783,102,78,1.4,0.8,118290,25482,3.2,512,958091,0.507859412,0.505098618,0.624304537,0.868852592
81,8,2,3309,503,365,4.17,2.78,827279,223918,2,747,966448,0.512289242,0.507863919,0.625342973,0.871155963
96,2,1,253,22,24,0.8,0.8,34552,22677,1.2,7091,967152,0.512662415,0.508095754,0.625430399,0.871348144
97,1,0,1276,29,31,0.6,4.2,47728,9473,2.2,4590,967243,0.512710652,0.508125708,0.625441699,0.871372964
93,57,55,1123,107,79,0.2,0.2,20746,36718,1.4,941,969859,0.514097326,0.508985589,0.625766491,0.872084443
82,22,15,4679,409,258,2.4,3.2,542748,293954,3.8,876,969880,0.514108457,0.508992482,0.625769098,0.872090138
71,38,30,5991,289,193,5.8,6,401075,205417,2.3,213,970677,0.514530927,0.509253977,0.625868027,0.872306107
67,26,2,5404,475,246,6.2,16.4,328399,196650,3.8,122,970690,0.514537818,0.509258241,0.625869641,0.872309627
87,5,3,3786,167,149,1.2,1.2,172744,161033,1,700,971450,0.514940674,0.509507387,0.625963968,0.872515224
83,32,42,2331,242,212,4,1.6,158546,34270,1,205,973072,0.515800455,0.510038448,0.626165249,0.872952906
90,1,0,1816,155,99,0.8,1,44286,56277,1,1259,974222,0.51641004,0.510414419,0.626307931,0.873262312
86,2,0,4228,206,186,1.8,0.6,84452,45749,2.2,600,974256,0.516428063,0.510425527,0.626312149,0.873271449
96,2,1,986,73,54,0.2,0.2,5562,23881,2.3,217,974392,0.516500153,0.510469958,0.626329021,0.873307987
91,0,0,255,32,32,0.2,0.2,1430,7410,1.6,1196,975309,0.516986231,0.510769372,0.626442777,0.873554076
86,40,11,3402,283,202,2.8,4.2,225184,28672,1,1025,975696,0.51719137,0.510895646,0.62649078,0.873657789
52,55,0,4652,302,223,16.17,36.93,180995,29681,1,187,975880,0.517288903,0.510955665,0.626513603,0.87370707
88,14,4,1575,358,236,2.2,1.8,468846,173574,1,362,976144,0.517428843,0.511041758,0.626546347,0.873777743
95,1,0,928,115,89,0.4,1.4,4969,17251,5,889,976278,0.517499873,0.511085448,0.626562967,0.8738136
76,7,1,2319,207,94,0.6,1.2,1132227,33317,2.8,98,976682,0.517714023,0.511217133,0.626613073,0.873921645
89,2,1,2133,134,90,0.8,1,100812,83681,1.8,405,976960,0.517861383,0.511307714,0.62664755,0.873995939
94,1,0,1372,66,41,0.2,0.2,17950,17530,1.4,986,977181,0.51797853,0.511379705,0.626674958,0.874054969
96,9,8,470,129,81,0.2,0.2,291365,51259,1.2,1302,977579,0.518189499,0.51150931,0.626724313,0.874161206
80,32,26,3205,350,245,1,1.4,109372,69986,2.6,405,978936,0.51890881,0.511950794,0.626892574,0.874522754
76,25,0,3346,198,131,6.21,18.04,211729,48291,2.7,133,980412,0.5196912,0.512430273,0.627075556,0.874914827
87,16,14,1363,121,82,0.8,0.6,321356,183286,3.2,753,980648,0.519816297,0.512506868,0.62710481,0.874977403
97,0,0,431,39,72,0.8,0.6,13226,49176,1,172,981554,0.520296545,0.512800739,0.627217106,0.875217339
97,0,0,183,38,21,0.2,0.2,255771,228527,2.8,3652,981603,0.520322518,0.512816624,0.627223179,0.875230302
91,13,21,324,19,14,0.2,0.2,644,4682,1.8,1230,982138,0.520606108,0.512990015,0.627289484,0.875371756
0,2,0,1240,87,83,0.4,0.6,21455,50048,679,93,984714,0.52197158,0.513823513,0.627608672,0.876050604
91,13,3,1651,78,60,0.8,3,56684,21286,1,590,985080,0.522165587,0.513941752,0.627654013,0.876146755
92,33,43,1613,161,110,0.2,0.2,11850,28651,1,253,985252,0.52225676,0.513997303,0.627675321,0.876191914
76,9,1,3326,383,177,6.2,19.2,34844,28865,1.5,188,985917,0.522609259,0.51421198,0.627757696,0.87636636
80,41,32,5200,185,121,2.79,7.19,59209,63458,2.4,209,987101,0.523236867,0.51459383,0.627904342,0.876676344
99,2,1,174,11,24,0.2,0.2,10271,8797,1,6442,987488,0.523442006,0.514718537,0.627952269,0.876777496
85,2,0,534,75,53,2.2,2.2,57506,28455,1.2,359,988041,0.523735137,0.514896647,0.628020751,0.876921893
92,31,38,1145,143,124,3.19,1,81774,6003,1.6,7313,988168,0.523802456,0.514937536,0.628036477,0.87695503
99,0,0,159,15,16,0.2,0.2,454,5323,1,7226,989965,0.524755,0.515515516,0.62825897,0.87742296
86,8,0,2956,409,371,3.6,3,254532,197621,2.8,5037,991186,0.52540222,0.515907607,0.628410116,0.877739886
90,2,1,3735,279,143,0.4,1,387812,214397,4,3768,992258,0.52597046,0.516251433,0.628542796,0.878017462
80,11,4,3794,340,304,4,2.2,174498,141499,1.2,466,993279,0.526511666,0.516578539,0.628669147,0.878281247
82,56,62,1929,146,97,1.8,3.6,319479,97895,1.8,553,995708,0.527799216,0.517355319,0.628969668,0.87890651
95,2,2,1424,133,101,0.2,0.2,210413,16994,2,342,996139,0.528027678,0.517492941,0.629022982,0.879017121
88,23,32,3355,234,111,1.2,3,155241,126756,5.4,4018,996330,0.528128923,0.51755391,0.629046607,0.879066106
97,0,0,393,162,57,0.2,0.2,210929,207090,2.4,1323,997088,0.528530719,0.517795746,0.62914036,0.879260312
76,17,9,1048,124,69,1,1.4,683931,188394,1,309,997461,0.528728437,0.517914678,0.629186491,0.879355764
96,1,0,958,117,45,0.6,0.6,215753,27639,2,6280,997657,0.528832331,0.517977155,0.629210731,0.879405891
88,3,3,1941,427,173,0.8,0.8,658879,844732,1.8,635,998654,0.529360815,0.518294756,0.62933402,0.879660549
79,7,0,3758,508,978,5.8,1.6,233257,87134,4.2,981,999115,0.529605179,0.518441498,0.629391022,0.879778118
96,1,1,857,90,44,0.2,0.2,46735,82746,1,6709,999211,0.529656067,0.518472047,0.629402891,0.879802586
96,40,54,844,28,33,0.2,0.2,817,11451,2,4707,999281,0.529693172,0.51849432,0.629411546,0.879820425
97,0,0,222,30,22,0.2,0.2,84896,5119,1.6,7302,999322,0.529714905,0.518507365,0.629416616,0.879830872
86,4,0,2921,248,205,3.8,1.4,140416,21712,3,177,999352,0.529730807,0.51851691,0.629420325,0.879838515
90,6,4,2573,189,118,0.6,0.6,107287,30575,1.4,1107,999584,0.529853784,0.518590712,0.629449009,0.879897609
90,16,14,2131,116,84,0.8,1.2,26886,41641,3,793,999726,0.529929055,0.518635876,0.629466565,0.879933764
79,30,13,3962,617,514,4.2,1.2,326797,265654,1.2,191,999741,0.529937006,0.518640646,0.629468419,0.879937583
79,9,2,3750,280,226,1.2,4,194798,362338,2.8,402,1000051,0.530101329,0.518739217,0.629506745,0.880016473
80,37,4,3499,388,117,4.19,5.99,288035,14367,4.2,766,1000069,0.53011087,0.51874494,0.62950897,0.880021052
88,60,71,2647,289,300,1,3.2,32797,37359,1,505,1000204,0.53018243,0.518787855,0.62952566,0.88005539
93,6,3,1005,63,60,0.2,0.2,134728,76858,2.2,1789,1000760,0.530477152,0.518964537,0.629594393,0.880196707
89,10,10,3224,222,100,0.6,0.6,95098,46440,1.5,211,1000834,0.530516377,0.518988044,0.629603541,0.880215503
93,15,1,643,60,19,1.2,1.4,361682,5234,2.2,7005,1000853,0.530526449,0.51899408,0.629605889,0.880220329
84,8,3,4100,391,383,1.2,1.6,259796,75883,2.8,2054,1001208,0.530714625,0.519106824,0.629649771,0.880310453
82,68,77,2774,217,152,3.61,6.21,180351,57275,2.7,324,1001614,0.530929835,0.519235713,0.629699955,0.880413442
81,3,0,583,53,68,2.6,3.2,62950,258017,1.8,270,1001804,0.531030549,0.519296012,0.629723439,0.880461609
91,132,105,2007,177,139,0.4,0.4,95309,82017,1,794,1002566,0.531434466,0.51953772,0.629817616,0.880654587
81,10,6,3249,555,526,2.39,4.38,469560,380797,1.4,870,1003385,0.531868597,0.519797291,0.629918827,0.880861652
91,2,0,3099,180,116,0.2,0.2,526898,35032,2.2,198,1003404,0.531878668,0.51980331,0.629921175,0.880866452
95,4,3,1887,144,93,0.2,0.2,48118,58743,2.4,2097,1004648,0.532538081,0.520197142,0.630074884,0.88118027
90,0,0,2772,148,221,0.2,0.2,95025,96367,2,226,1004704,0.532567765,0.520214858,0.630081803,0.881194377
88,64,82,2442,456,192,1.2,0.8,584516,567421,2,555,1004899,0.532671129,0.520276542,0.630105895,0.881243488
95,0,0,1162,230,83,0.4,1.8,227587,216272,4.8,2576,1005125,0.532790926,0.520348015,0.630133816,0.881300381
82,4,0,4562,201,149,0.2,0.2,61399,41637,2.8,1076,1005256,0.532860366,0.520389437,0.630149999,0.881333346
0,81,45,1479,180,199,0.8,2,110797,88252,335,90,1005782,0.533139185,0.520555698,0.630214979,0.881465618
87,1,0,2361,286,183,0.2,0.2,154222,94948,1.5,132,1005963,0.533235128,0.520612888,0.630237338,0.8815111
80,4,2,2421,581,170,2.2,3.79,1029143,278592,1.3,163,1006190,0.533355455,0.520684597,0.630265378,0.881568115
91,26,39,1722,139,114,0.2,0.2,163304,47725,1,229,1006816,0.533687282,0.52088226,0.6303427,0.881725206
76,12,2,2763,366,256,6.2,4.8,310712,49538,1.8,498,1006933,0.5337493,0.520919189,0.630357151,0.881754543
